artist,name,description,Medium,Size,year,link,tags,images
Brenda Medeiros,Daria T.,Portrait of an old-time friend,Watercolor on paper ,,2016,https://andrescolubri.net/projects/espacio.html,art;oasis,portrait1.jpg
Brenda Medeiros,Alert,,Watercolor on paper ,,2017,https://andrescolubri.net/projects/espacio.html,art;oasis,portrait2.jpg
Brenda Medeiros,Father and Son,,Watercolor on paper ,,2017,https://andrescolubri.net/projects/espacio.html,art;oasis,portrait3.jpg
Brenda Medeiros,Antonio,,Watercolor on paper ,,2019,https://andrescolubri.net/projects/espacio.html,art;oasis,portrait4.jpg
Colin Sanders,After Leonardo,,Iron & bronce,,2019,https://andrescolubri.net/projects/espacio.html,art;oasis,3dprint1.jpg
Colin Sanders,Dia de Muertos,,"3D printed, resine",,2020,https://andrescolubri.net/projects/espacio.html,art;oasis,3dprint2.jpg
Colin Sanders,Archiaberante,,"3D printed, resine",,2020,https://andrescolubri.net/projects/espacio.html,art;oasis,3dprint4.jpg
John Demarco,Untitled 1,Some explorations on form and color,Oil on canvas,,2019,https://andrescolubri.net/projects/espacio.html,art;oasis,abstractcity1.jpg
John Demarco,Untitled 2,Some explorations on form and color,Oil on canvas,,2020,https://andrescolubri.net/projects/espacio.html,art;oasis,abstractcity2.jpg
John Demarco,Staircase,,Gouache on paper,,2020,https://andrescolubri.net/projects/espacio.html,art;oasis,abstractcity3.jpg
MaryLynn Duncan,Sunrise,,Dance video,30 minutes,2019,https://andrescolubri.net/projects/espacio.html,art;oasis,dance1.jpg;dance2.jpg
MaryLynn Duncan,TRUCK,,Dance installation,15 minutes,2018,https://andrescolubri.net/projects/espacio.html,art;oasis,dance3.jpg
Jane Hubot,Wall window,,Copper & Glass,,2015,https://andrescolubri.net/projects/espacio.html,art;oasis,glassscuplture1.jpg
Jane Hubot,Structure I,,Copper & Glass,,2015,https://andrescolubri.net/projects/espacio.html,art;oasis,glassscuplture2.jpg
Jane Hubot,Topologies,,Glass,,2016,https://andrescolubri.net/projects/espacio.html,art;oasis,glassscuplture3.jpg
JJ K,Contemplation,,Ink on paper,,2020,https://andrescolubri.net/projects/espacio.html,art;oasis,CatAndTheWoman.png
JJ K,Friends I haven't seen in a while,,Ink on paper,,2019,https://andrescolubri.net/projects/espacio.html,art;oasis,flaco1.jpg;flaco2.jpg
JJ K,Stay on track,,White ink on black paper,,2019,https://andrescolubri.net/projects/espacio.html,art;oasis,MinimalSkatePunkGirl.png
Lindsey Z,In the Valley Below,,Mural,,2018,https://andrescolubri.net/projects/espacio.html,art;oasis,mural1.jpg
Lindsey Z,Pileup,,Mural,,2018,https://andrescolubri.net/projects/espacio.html,art;oasis,mural2.jpg
Lindsey Z,Radiance,,Mural,,2019,https://andrescolubri.net/projects/espacio.html,art;oasis,mural3.jpg
Lia Latorre,Wavelength,,Stainless steel sculpture,"20""x5""",2015,https://andrescolubri.net/projects/espacio.html,art;oasis,metalsculpture1.jpg
Lia Latorre,Spring Maybe,,Silver and Bronce sculpture,"10""x10""",2014,https://andrescolubri.net/projects/espacio.html,art;oasis,metalsculpture2.jpg
Lia Latorre,Airfall,,Stainless steel sculpture,"8""x12""",2015,https://andrescolubri.net/projects/espacio.html,art;oasis,metalsculpture3.jpg
Lia Latorre,Untitled,,Copper,"25""x25""",2019,https://andrescolubri.net/projects/espacio.html,art;oasis,metalsculpture4.jpg
Marcus Bathasi,Forest and Trees in the US,,"Photo series, limited edition book",,2019,https://andrescolubri.net/projects/espacio.html,art;oasis,nature1.jpg;nature2.jpg;nature4.jpg
Marcus Bathasi,Ice Field,,Digital print,"100""x70""",2019,https://andrescolubri.net/projects/espacio.html,art;oasis,nature3.jpg
Marcus Bathasi,Belisario island,,Digital print,"150""x100""",2019,https://andrescolubri.net/projects/espacio.html,art;oasis,nature5.jpg
Melissa Tarik,Aneatropic regulation,,Digital video,10 minutes,2020,https://andrescolubri.net/projects/espacio.html,art;oasis,generative.jpg
Melissa Tarik,Internal Sequence,,Digital video,15 minutes,2020,https://andrescolubri.net/projects/espacio.html,art;oasis,generative2.jpg
Melissa Tarik,Borderline,,"Digital video, 5 minutes",,2020,https://andrescolubri.net/projects/espacio.html,art;oasis,generative3.jpg
Patrick Bracamonte,Maria,,Oil on canvas,,2019,https://andrescolubri.net/projects/espacio.html,art;oasis,portrait1.jpg
Patrick Bracamonte,Jennie,,Oil on canvas,,2018,https://andrescolubri.net/projects/espacio.html,art;oasis,portrait2.jpg
Patrick Bracamonte,Lisa,,Oil on canvas,,2018,https://andrescolubri.net/projects/espacio.html,art;oasis,portrait3.jpg
Rob Krishna,Mirabend,,Markers & pencil,,2020,https://andrescolubri.net/projects/espacio.html,art;oasis,landscape1.jpg
Rob Krishna,Adurandena,,Graphite and ink,,2020,https://andrescolubri.net/projects/espacio.html,art;oasis,landscape2.jpg
Rob Krishna,Countadere,,Watercolor on wood,,2019,https://andrescolubri.net/projects/espacio.html,art;oasis,landscape3.jpg
Ronie Buono,Cove Park,,Short documentary,7 minutes,2018,https://andrescolubri.net/projects/espacio.html,art;oasis,doc1.jpg
Ronie Buono,Antilope,Special mention at Telluride Film Festival,Documentary,40 minutes,2018,https://andrescolubri.net/projects/espacio.html,art;oasis,doc2.jpg
Ronie Buono,Underground dwellers,,Short documentary,15 minutes,2017,https://andrescolubri.net/projects/espacio.html,art;oasis,doc34.jpg
Tanit Ferro,Morning Sun,,Cotton and plant fiber,"150""x150""",2019,https://andrescolubri.net/projects/espacio.html,art;oasis,tapestry1.jpg
Tanit Ferro,Cosmologia,,Recycled fabric,"200""x130""",2020,https://andrescolubri.net/projects/espacio.html,art;oasis,tapestry2.jpg
Tanit Ferro,Animal Series I,,Stamped linen,,2020,https://andrescolubri.net/projects/espacio.html,art;oasis,tapestry3.jpg
Alina Veranova,Twilight Forest,,Digital animation & printed stills,,2019,https://andrescolubri.net/projects/espacio.html,art;oasis,animation1.png
Alina Veranova,Saturnian Chronicles,,Digital animation & printed stills,,2020,https://andrescolubri.net/projects/espacio.html,art;oasis,animation2.jpg
Street Grit,No Estas Sola,,Grafitti mural,,2019,https://andrescolubri.net/projects/espacio.html,art;oasis,graffiti1.jpg
Street Grit,We are watching back,,Grafitti mural,,2020,https://andrescolubri.net/projects/espacio.html,art;oasis,graffiti2.jpg
Street Grit,Monopoly,,Grafitti mural,,2018,https://andrescolubri.net/projects/espacio.html,art;oasis,graffiti3.jpg
