place,artists,artworks,name,description,link,hub_link,startTime,endTime,tags,image
Nuclear Bean Brookline,Patrick Bracamonte; Brenda Medeiros,Alert;Antonio;Jennie;Maria,Cambridge Faces,New portraits from Patrick Bracamonte and Brenda Medeiros,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-09-01T20:00:00,2019-09-08T23:00:00,show;oasis,cambridgefaces.jpg
Nuclear Bean Brookline,Rob Krishna,Adurandena;Mirabend,Rob Krishna Retrospective,Landscapes by Rob Krishna,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-09-09T20:00:00,2019-09-30T23:00:00,show;oasis,krishnaretro.jpg
Nuclear Bean Brookline,Brenda Medeiros,Father and Son;Daria T.,More From Brenda!,A selection of portraits by Brenda Medeiros,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-10-06T20:00:00,2019-10-20T23:00:00,show;oasis,portrait4.jpg
Nuclear Bean Cambridgeport,John Demarco,Untitled 1;Staircase,Abstract Dreams,Work from John Demarco ,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-09-03T20:00:00,2019-09-10T23:00:00,show;oasis,demarco.jpg
Nuclear Bean Cambridgeport,Marcus Bathasi; Colin Sanders,Forest and Trees in the US;Ice Field;Belisario island;After Leonardo;Archiaberante,Marcus+Colin,Collaboration between Marcus and Colin,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-09-19T20:00:00,2019-10-20T23:00:00,show;oasis,bathasi+sanders.jpg
Nuclear Bean Kendall,Brenda Medeiros,Antonio;Father and Son;Alert,Untitled,Brenda's new portrait work,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-09-10T20:00:00,2019-09-25T23:00:00,show;oasis,Portrait+1.jpg
Nuclear Bean Kendall,Rob Krishna,Countadere;Adurandena;Mirabend,Horizon,Landscapes by Rob Krishna,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-10-01T20:00:00,2019-10-20T23:00:00,show;oasis,landscape3.jpg
Nuclear Bean Kendall,JJ K,Contemplation;Friends I haven't seen in a while,FXXXX,New illustrations by JJK,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-09-14T20:00:00,2019-09-27T23:00:00,show;oasis,FXXXX-exhibit.jpg
CREATE,Melissa Tarik,Aneatropic regulation,Generative Patterns,Computer-generated work by Melissa Tarik,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-09-01T20:00:00,2019-09-09T23:00:00,show;oasis,Q0A0033-_14-selected.jpg
CREATE,Ronie Buono,Underground dwellers,Everyday,Short films by Ronie Buono,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-09-10T20:00:00,2019-09-27T23:00:00,show;oasis,doc1.png
CREATE,Tanit Ferro,Morning Sun;Cosmologia,Tapestries,Knitting work by Tanit Ferro,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-09-28T20:00:00,2019-10-20T23:00:00,show;oasis,tanit-knits.jpg
Runners Paradise,Jane Hubot,Wall window;Structure I;Topologies,Transluscent,Glass sculptures from Jane Hubot,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-09-06T20:00:00,2019-09-23T23:00:00,show;oasis,hubot.jpg
Runners Paradise,Marcus Bathasi,Forest and Trees in the US;Ice Field;Belisario island,Faraway,Nature photography by Marcus Bathasi,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-09-16T20:00:00,2019-10-03T23:00:00,show;oasis,nature_at_runners.png
Runners Paradise,John Demarco,Untitled 1;Untitled 2,Some more for you,Paintings,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-10-02T20:00:00,2019-10-08T23:00:00,show;oasis,demarco2.jpg
Runners Paradise,Colin Sanders,After Leonardo;Dia de Muertos;Archiaberante,Space views,3D printed artwork,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-10-09T20:00:00,2019-10-20T23:00:00,show;oasis,spaceviews.jpg
Peter's wall,Street Grit,No Estas Sola,Hey,Graffitti art,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-09-02T20:00:00,2019-10-08T23:00:00,show;oasis,graffiti 2.jpg.crop_display.jpg
Peter's wall,Lindsey Z,In the Valley Below,Second skin,Mural by Lindsey Z,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-10-12T20:00:00,2019-10-20T23:00:00,show;oasis,mural1.jpg
Gina's Sculpture Garden,Lia Latorre,Wavelength;Spring Maybe,Outside,Sculptures from recycled materials,https://www.e-flux.com/announcements/330446/soundmuseum/,rTRMTmW,2019-09-02T20:00:00,2019-09-23T23:00:00,show;oasis,IMG_7275.JPG
